央视频道,#genre#
CGTN英语,http://192.168.10.150:8888/udp/225.1.2.184:11830
CGTN英文记录,http://192.168.10.150:8888/udp/225.1.2.185:11836
CGTN西班牙语,http://192.168.10.150:8888/udp/225.1.2.186:11842
CGTN法语,http://192.168.10.150:8888/udp/225.1.2.187:11848
CGTN,http://192.168.10.150:8888/udp/225.1.2.12:10066
CGTN阿拉伯语,http://192.168.10.150:8888/udp/225.1.2.188:11854
CGTN俄语,http://192.168.10.150:8888/udp/225.1.2.189:11860
CHC家庭影院,http://192.168.10.150:8888/udp/225.1.2.214:11422
CHC动作电影,http://192.168.10.150:8888/udp/225.1.2.215:11428
CHC高清电影,http://192.168.10.150:8888/udp/225.1.2.210:11398
爱上4K,http://192.168.10.150:8888/udp/225.1.2.196:11194
音乐现场,http://192.168.10.150:8888/udp/225.1.2.158:10966
好学生,http://192.168.10.150:8888/udp/225.1.2.160:10978
国学,http://192.168.10.150:8888/udp/225.1.2.161:10984
早教,http://192.168.10.150:8888/udp/225.1.2.162:10990
中国教育1高清,http://192.168.10.150:8888/udp/225.1.2.94:10558
中国教育4,http://192.168.10.150:8888/udp/225.1.2.95:10564
中国教育2,http://192.168.10.150:8888/udp/225.1.2.149:10912
山东教育,http://192.168.10.150:8888/udp/225.1.2.150:10918
新乡新闻综合,http://192.168.10.150:8888/udp/225.1.2.122:10750
新乡县新闻,http://192.168.10.150:8888/udp/225.1.2.254:11572
新乡教育新闻,http://192.168.10.150:8888/udp/225.1.2.123:10756
新闻综合,http://192.168.10.150:8888/udp/225.1.2.253:11566
卫辉综合,http://192.168.10.150:8888/udp/225.1.2.219:11812
乐游,http://192.168.10.150:8888/udp/225.1.2.199:11752
金色学堂,http://192.168.10.150:8888/udp/225.1.2.201:11764
欢笑剧场,http://192.168.10.150:8888/udp/225.1.2.140:11722
法治天地,http://192.168.10.150:8888/udp/225.1.2.207:11800
都市剧场,http://192.168.10.150:8888/udp/225.1.2.139:11716
北京卫视4K,http://192.168.10.150:8888/udp/225.1.2.249:11348
北京卫视4K,http://192.168.10.150:8888/udp/225.1.2.239:11330
